      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621309069.00 2158.00000 185887.00   22 19 05.20968  114 10 04.26108       14.725  -0.059   3.870  -0.047   0.051   0.296  -0.243   0.6964244704   0.4987483015 -11.0291113817 2
1621309070.00 2158.00000 185888.00   22 19 05.34092  114 10 04.23248       14.708   0.001   4.216  -0.020   0.841   0.103  -0.340   0.7067663586   0.6443426068 -12.1731075633 3
1621309071.00 2158.00000 185889.00   22 19 05.47838  114 10 04.20255       15.167   0.074   4.451  -0.028  -0.826   2.734   0.079   0.9592745885   0.4221381147 -11.9092375804 2
1621309072.00 2158.00000 185890.00   22 19 05.62409  114 10 04.17041       15.366   0.046   4.699  -0.009  -1.017   0.165   0.411   1.2878486953   0.6359086681 -12.7144266290 2
1621309073.00 2158.00000 185891.00   22 19 05.77527  114 10 04.13546       15.610   0.020   4.792  -0.132  -1.197  -0.583   0.592   1.5895338927   0.8673205920 -13.0212569875 2
1621309074.00 2158.00000 185892.00   22 19 05.92880  114 10 04.09703       15.797   0.053   4.911  -0.023  -0.352  -0.116   0.320   1.1246817744   0.4867333765 -14.2487159311 2
1621309075.00 2158.00000 185893.00   22 19 06.08855  114 10 04.05294       15.598   0.025   5.165  -0.051  -0.101   1.005   0.329   0.5844685172   0.8131818099 -15.7780319596 3
1621309076.00 2158.00000 185894.00   22 19 06.25350  114 10 04.00311       15.685   0.027   5.346  -0.038  -0.203   0.302  -0.673   0.6890218557   0.7522878554 -17.1201970538 4
1621309077.00 2158.00000 185895.00   22 19 06.41702  114 10 03.95068       16.213   0.072   5.264  -0.037  -0.083   0.265  -0.672   0.1028230059   0.4875183287 -16.7365903508 2
1621309078.00 2158.00000 185896.00   22 19 06.57841  114 10 03.90348       16.301   0.081   5.050  -0.055  -0.177   1.428   0.218   0.2601514869   0.8156569876 -15.7550448928 2
1621309079.00 2158.00000 185897.00   22 19 06.73276  114 10 03.86093       16.342   0.103   4.767  -0.010   0.517   0.756   0.174   0.3049911639   0.3200026582 -14.7664463244 2
1621309080.00 2158.00000 185898.00   22 19 06.87650  114 10 03.82516       15.271   0.067   4.069  -0.009   1.179  -1.114   0.378   0.3873824949   0.3149950070 -13.8149066661 4
1621309081.00 2158.00000 185899.00   22 19 06.99196  114 10 03.79773       14.110   0.064   3.051   0.010  -0.364  -2.192  -0.688   0.1558731682   0.5354061412 -13.2263930669 4
1621309082.00 2158.00000 185900.00   22 19 07.07520  114 10 03.77892       13.156   0.010   2.149   0.017  -0.100  -0.869  -0.545   0.0093907783   0.7508153539 -12.5446019385 4
1621309083.00 2158.00000 185901.00   22 19 07.13311  114 10 03.76610       12.501  -0.015   1.504   0.009  -0.023  -0.719   0.106  -0.0797843730   0.5299802309 -12.2013944897 4
1621309084.00 2158.00000 185902.00   22 19 07.16878  114 10 03.75789       12.168  -0.005   0.841   0.016   0.006  -0.406   0.021  -0.0881094497   0.3031347807 -12.1129985610 4
1621309085.00 2158.00000 185903.00   22 19 07.18756  114 10 03.75296       12.081  -0.018   0.481   0.016   0.327  -0.094  -0.027  -0.0195836974   0.3557781429 -12.1425288058 4
1621309086.00 2158.00000 185904.00   22 19 07.19747  114 10 03.74950       12.153  -0.010   0.292   0.016   0.419  -0.100  -0.011  -0.0694482143   0.4107018771 -12.1014935685 4
1621309087.00 2158.00000 185905.00   22 19 07.20200  114 10 03.74705       12.310  -0.016   0.181   0.012   0.319  -0.075   0.011  -0.1320725014   0.4765576461 -12.0490392824 2
1621309088.00 2158.00000 185906.00   22 19 07.20514  114 10 03.74536       12.155  -0.014   0.106   0.015  -0.285  -0.134  -0.005  -0.1475996576   0.4772853025 -12.0298280075 2
1621309089.00 2158.00000 185907.00   22 19 07.21291  114 10 03.74487       10.209  -0.015   0.029   0.011   0.460   0.094   0.030  -0.1479778097   0.4897070275 -12.0100437748 2
1621309090.00 2158.00000 185908.00   22 19 07.22096  114 10 03.74484        8.030  -0.013   0.009   0.008  -0.081   0.071   0.015  -0.1441962883   0.4953563914 -12.0060903661 2
1621309091.00 2158.00000 185909.00   22 19 07.22177  114 10 03.74464        8.003  -0.008   0.004   0.007  -0.358  -0.033   0.015  -0.1457547335   0.4972471521 -12.0059986928 2
1621309092.00 2158.00000 185910.00   22 19 07.22176  114 10 03.74464        8.004  -0.006  -0.001   0.004   0.048  -0.048  -0.161  -0.1477830041   0.4962788534 -12.0029219094 2
1621309093.00 2158.00000 185911.00   22 19 07.22175  114 10 03.74464        8.004  -0.002  -0.002   0.004   0.004   0.105  -0.366  -0.1499545141   0.4974877944 -12.0041480391 2
1621309094.00 2158.00000 185912.00   22 19 07.22174  114 10 03.74464        8.004  -0.000  -0.001   0.008  -0.026   0.022  -0.002  -0.1496393874   0.4957689210 -12.0032313067 2
1621309095.00 2158.00000 185913.00   22 19 07.22173  114 10 03.74464        8.004   0.001  -0.000   0.005  -0.317   0.032   0.007  -0.1474564182   0.4952303406 -12.0036610250 2
1621309096.00 2158.00000 185914.00   22 19 07.22172  114 10 03.74464        8.004   0.001  -0.002   0.004  -0.203  -0.037  -0.028  -0.1488888126   0.4951558561 -12.0023604108 2
1621309097.00 2158.00000 185915.00   22 19 07.22171  114 10 03.74464        8.005   0.003  -0.002   0.005   0.248  -0.032  -0.057  -0.1507853029   0.4951902336 -12.0019135037 2
1621309098.00 2158.00000 185916.00   22 19 07.22170  114 10 03.74464        8.005   0.003  -0.004   0.004   0.488   0.157  -0.045  -0.1488487056   0.4931333151 -12.0026755376 2
1621309099.00 2158.00000 185917.00   22 19 07.22169  114 10 03.74464        8.005   0.002  -0.003   0.005   0.478  -0.107  -0.024  -0.1473189083   0.4948865660 -12.0004123543 2
1621309100.00 2158.00000 185918.00   22 19 07.22168  114 10 03.74464        8.005   0.003  -0.002   0.004   0.391   0.100  -0.020  -0.1483502323   0.4979518902 -11.9986018077 2
1621309101.00 2158.00000 185919.00   22 19 07.22167  114 10 03.74464        8.005   0.001  -0.003   0.004   0.309  -0.124   0.030  -0.1460125645   0.4983013944 -11.9992893570 2
1621309102.00 2158.00000 185920.00   22 19 07.22166  114 10 03.74464        8.005  -0.001   0.001   0.005   0.085   0.090   0.053  -0.1459151617   0.4987139240 -11.9986877513 2
1621309103.00 2158.00000 185921.00   22 19 07.22165  114 10 03.74464        8.005  -0.000  -0.003   0.004  -0.114  -0.102   0.081  -0.1471069139   0.4986508987 -11.9971923315 2
1621309104.00 2158.00000 185922.00   22 19 07.22164  114 10 03.74464        8.006   0.001   0.001   0.005  -0.153  -0.068   0.050  -0.1475595506   0.5012922341 -11.9972496273 3
1621309105.00 2158.00000 185923.00   22 19 07.22163  114 10 03.74464        8.006  -0.003  -0.003   0.004  -0.400   0.073   0.086  -0.1469751336   0.5025756596 -11.9973584893 3
1621309106.00 2158.00000 185924.00   22 19 07.22162  114 10 03.74464        8.006   0.001   0.001   0.002  -0.413  -0.043   0.012  -0.1482986661   0.5036528202 -11.9973871371 3
1621309107.00 2158.00000 185925.00   22 19 07.22161  114 10 03.74463        8.006   0.002  -0.000   0.002  -0.494   0.065  -0.045  -0.1463792575   0.5034522850 -11.9970261737 3
1621309108.00 2158.00000 185926.00   22 19 07.22160  114 10 03.74463        8.006   0.002  -0.001   0.001  -0.328  -0.115   0.005  -0.1464079054   0.5023980427 -11.9960979821 3
1621309109.00 2158.00000 185927.00   22 19 07.22159  114 10 03.74463        8.006   0.003  -0.001  -0.001  -0.241   0.126  -0.025  -0.1505962269   0.5048732203 -11.9958172328 3
1621309110.00 2158.00000 185928.00   22 19 07.22157  114 10 03.74463        8.006   0.001  -0.004  -0.001  -0.479  -0.113  -0.015  -0.1443681756   0.5034236371 -11.9954906468 3
1621309111.00 2158.00000 185929.00   22 19 07.22156  114 10 03.74463        8.007   0.003  -0.003  -0.000  -0.297   0.019  -0.063  -0.1440587784   0.5050221894 -11.9952843820 4
1621309112.00 2158.00000 185930.00   22 19 07.22155  114 10 03.74463        8.007   0.002  -0.006  -0.000  -0.369   0.082  -0.042  -0.1434170657   0.5053831528 -11.9948202862 4
1621309113.00 2158.00000 185931.00   22 19 07.22154  114 10 03.74463        8.007   0.002  -0.003   0.001  -0.527  -0.056   0.001  -0.1414919275   0.5042773442 -11.9943619200 4
1621309114.00 2158.00000 185932.00   22 19 07.22153  114 10 03.74463        8.007  -0.001   0.002   0.002   0.030   0.001   0.030  -0.1413486881   0.5040653498 -11.9939952270 4
1621309115.00 2158.00000 185933.00   22 19 07.22152  114 10 03.74463        8.007  -0.002   0.005   0.000   0.130  -0.034   0.065  -0.1410392908   0.5030397554 -11.9934967537 4
1621309116.00 2158.00000 185934.00   22 19 07.22151  114 10 03.74463        8.007   0.002   0.008  -0.001   0.354  -0.035  -0.063  -0.1420534261   0.5037387639 -11.9931873565 4
1621309117.00 2158.00000 185935.00   22 19 07.22150  114 10 03.74463        8.007   0.003   0.007  -0.002  -0.630  -0.022   0.083  -0.1402715274   0.5038132484 -11.9930555762 4
1621309118.00 2158.00000 185936.00   22 19 07.22149  114 10 03.74463        8.008   0.001   0.005  -0.003   0.513   0.102   0.001  -0.1420018599   0.5032116427 -11.9929581734 4
1621309119.00 2158.00000 185937.00   22 19 07.22148  114 10 03.74463        8.008  -0.003   0.002  -0.004   0.383  -0.157   0.012  -0.1393433358   0.4990405100 -11.9921904099 4
1621309120.00 2158.00000 185938.00   22 19 07.22147  114 10 03.74463        8.008   0.001   0.003  -0.005   0.551  -0.027   0.005  -0.1384036850   0.4974018507 -11.9928493114 4
1621309121.00 2158.00000 185939.00   22 19 07.22146  114 10 03.74463        8.008  -0.003  -0.000  -0.002   0.511  -0.028  -0.039  -0.1458693251   0.4948407293 -11.9908382295 4
1621309122.00 2158.00000 185940.00   22 19 07.22145  114 10 03.74463        8.008  -0.002  -0.001  -0.004  -0.149  -0.090   0.074  -0.1385354653   0.4997624368 -11.9906949901 4
1621309123.00 2158.00000 185941.00   22 19 07.22144  114 10 03.74463        8.008  -0.001  -0.000  -0.001  -0.499   0.090   0.011  -0.1339460733   0.4984331747 -11.9918122578 5
1621309124.00 2158.00000 185942.00   22 19 07.22143  114 10 03.74463        8.008   0.001   0.002  -0.002  -0.416   0.012  -0.039  -0.1379854258   0.5003583129 -11.9902652718 5
1621309125.00 2158.00000 185943.00   22 19 07.22142  114 10 03.74463        8.009  -0.002  -0.001  -0.005  -0.427   0.056  -0.099  -0.1350461523   0.4982039916 -11.9879161448 5
1621309126.00 2158.00000 185944.00   22 19 07.22141  114 10 03.74463        8.009   0.002  -0.002  -0.007  -0.172  -0.099   0.016  -0.1389537245   0.4986738170 -11.9899902520 4
1621309127.00 2158.00000 185945.00   22 19 07.22140  114 10 03.74463        8.009  -0.000   0.001  -0.008  -0.034   0.212  -0.115  -0.1376359215   0.5013839074 -11.9902423534 4
1621309128.00 2158.00000 185946.00   22 19 07.22139  114 10 03.74463        8.009   0.002  -0.001  -0.008  -0.025  -0.176  -0.095  -0.1382317977   0.4982842057 -11.9878588490 4
1621309129.00 2158.00000 185947.00   22 19 07.22138  114 10 03.74463        8.009   0.002  -0.000  -0.008   0.303   0.124  -0.063  -0.1390855048   0.5002723692 -11.9872343250 4
1621309130.00 2158.00000 185948.00   22 19 07.22137  114 10 03.74463        8.009   0.000  -0.003  -0.008   0.464  -0.057  -0.084  -0.1402657978   0.4984732818 -11.9866613672 3
1621309131.00 2158.00000 185949.00   22 19 07.22136  114 10 03.74463        8.009  -0.003  -0.001  -0.008   0.398   0.059   0.035  -0.1396355443   0.4992295861 -11.9867358517 3
1621309132.00 2158.00000 185950.00   22 19 07.22134  114 10 03.74463        8.011  -0.003  -0.003  -0.009   0.459   0.016   0.012  -0.1402887161   0.5013266116 -11.9862602968 3
1621309133.00 2158.00000 185951.00   22 19 07.22149  114 10 03.74461        8.024   0.002  -0.000  -0.010   0.569  -0.021   0.017  -0.1430102657   0.4997395185 -11.9860425728 2
1621309134.00 2158.00000 185952.00   22 19 07.22324  114 10 03.74460        8.050   0.000  -0.002  -0.013   0.287   0.122   0.066  -0.1372692286   0.5009656482 -11.9862889447 2
1621309135.00 2158.00000 185953.00   22 19 07.22457  114 10 03.74467        8.048   0.002  -0.000  -0.015   0.160  -0.127   0.056  -0.1394006316   0.4997910847 -11.9854524263 2
1621309136.00 2158.00000 185954.00   22 19 07.22555  114 10 03.74481        8.040   0.009   0.077  -0.015   0.169   0.827  -0.063  -0.1346909185   0.5447682716 -11.9801812146 2
1621309137.00 2158.00000 185955.00   22 19 07.23512  114 10 03.74313        8.028   0.018   0.491  -0.016  -0.020   0.127  -0.124  -0.2120975166   0.5146020437 -11.9466058878 2
1621309138.00 2158.00000 185956.00   22 19 07.25503  114 10 03.73935        8.099   0.043   0.806  -0.021  -0.078   0.434   0.210  -0.1734056767   0.6535557682 -11.8564624379 2
1621309139.00 2158.00000 185957.00   22 19 07.28492  114 10 03.73352        8.096   0.043   1.112  -0.031   0.370   0.270  -0.111  -0.2450311307   0.6448811872 -11.7120484256 3
1621309140.00 2158.00000 185958.00   22 19 07.32188  114 10 03.72651        8.084   0.047   1.167  -0.014  -0.238  -0.360  -0.341  -0.3031920764   0.5025412821 -11.5620308861 3
1621309141.00 2158.00000 185959.00   22 19 07.36103  114 10 03.71953        8.071   0.063   1.341  -0.033   0.551   0.368  -0.256  -0.0786155391   0.4205911287 -11.3892096263 3
1621309142.00 2158.00000 185960.00   22 19 07.41354  114 10 03.71013        8.046   0.098   2.152  -0.045   0.274   1.539   0.713   0.0756075106   0.7952826084 -11.1632923677 3
1621309143.00 2158.00000 185961.00   22 19 07.49562  114 10 03.69558        8.030   0.068   2.988  -0.071   0.188   1.246  -0.224   0.2171796522   0.5228182585 -11.0429540420 3
1621309144.00 2158.00000 185962.00   22 19 07.60550  114 10 03.67552        8.008   0.097   3.970  -0.039   0.160   1.676  -0.737   0.2052564005   0.6323907072 -11.1447457239 3
1621309145.00 2158.00000 185963.00   22 19 07.74673  114 10 03.65021        7.985   0.149   4.896  -0.072  -0.356   0.506  -0.038   0.2754036234   0.5045007978 -10.9984008439 3
1621309146.00 2158.00000 185964.00   22 19 07.91339  114 10 03.61932        7.973   0.120   5.473  -0.076  -0.355  -0.206  -0.167  -0.2842329030   0.4486603311 -11.1775418281 3
1621309147.00 2158.00000 185965.00   22 19 08.08642  114 10 03.58585        7.980   0.296   5.299  -0.099   0.502  -3.165   0.199  -1.3997645414   0.4974304986 -11.5476267271 3
1621309148.00 2158.00000 185966.00   22 19 08.25242  114 10 03.55387        7.968   0.281   5.108  -0.013   0.338  -0.504   0.036  -0.9418165645   0.6589415714 -11.9804734230 3
1621309149.00 2158.00000 185967.00   22 19 08.41361  114 10 03.52145        7.975   0.126   5.070  -0.041   0.238  -3.215  -0.788  -0.9413180912   0.5655952875 -12.3057874000 3
1621309150.00 2158.00000 185968.00   22 19 08.57408  114 10 03.48852        7.947   0.141   5.109   0.012   1.901   0.547  -1.152  -0.2524795820   0.1586577430 -12.7151886629 3
1621309151.00 2158.00000 185969.00   22 19 08.73308  114 10 03.45226        7.903   0.206   5.093  -0.040  -0.557  -3.363   2.082  -1.4758246887  -0.3693056764 -13.3793040432 3
1621309152.00 2158.00000 185970.00   22 19 08.88510  114 10 03.41801        7.846   0.079   4.492  -0.044   2.202  -2.511  -2.079  -1.0839559343   0.4479785113 -13.4901484583 3
1621309153.00 2158.00000 185971.00   22 19 09.00493  114 10 03.39135        7.845   0.080   2.924  -0.014   0.102  -2.263  -0.249  -0.4367485385   0.5712962175 -13.5859240833 3
1621309154.00 2158.00000 185972.00   22 19 09.07341  114 10 03.37609        7.841   0.076   1.803  -0.010   0.201  -0.107   0.137  -0.3309747999   0.6944477660 -13.3989106590 3
1621309155.00 2158.00000 185973.00   22 19 09.12691  114 10 03.36443        7.839   0.062   1.683  -0.008  -0.066  -0.229   0.204  -0.0527522242   0.6454025787 -13.2420520034 2
1621309156.00 2158.00000 185974.00   22 19 09.17761  114 10 03.35299        7.871   0.074   1.697  -0.026  -0.089  -0.515   0.233  -0.1681230058   0.6388765895 -13.1172904435 2
1621309157.00 2158.00000 185975.00   22 19 09.23149  114 10 03.34178        7.869   0.058   1.713  -0.018  -0.184   0.050   0.148  -0.0255309994   0.7493829594 -13.0118089134 2
1621309158.00 2158.00000 185976.00   22 19 09.28967  114 10 03.32961        7.871   0.056   2.103  -0.019   0.182   0.771   0.066  -0.0879375624   0.8526757907 -12.8815354995 2
1621309159.00 2158.00000 185977.00   22 19 09.36850  114 10 03.31377        7.878   0.039   2.660  -0.004   0.107  -0.682  -0.042   0.1989767831   0.4145005873 -12.7358552506 2
1621309160.00 2158.00000 185978.00   22 19 09.44960  114 10 03.29766        7.886   0.084   2.289  -0.005  -0.616  -0.714  -0.036  -0.0530902693   0.5992221805 -12.7489244179 2
1621309161.00 2158.00000 185979.00   22 19 09.51490  114 10 03.28510        7.898   0.065   1.779  -0.005   0.225   0.010   0.168  -0.4911737995   0.4667142312 -12.6117697809 2
1621309162.00 2158.00000 185980.00   22 19 09.56954  114 10 03.27459        7.802   0.072   1.675  -0.007  -0.123   0.009   0.134  -0.3452357195   0.6422455813 -12.4222983676 3
1621309163.00 2158.00000 185981.00   22 19 09.62238  114 10 03.26445        7.719   0.057   1.642   0.001   0.867  -0.315   0.029  -0.4199952526   0.7866997006 -12.2496203473 3
1621309164.00 2158.00000 185982.00   22 19 09.67479  114 10 03.25458        7.664   0.047   1.644   0.005  -0.428  -0.381  -0.180  -0.4453600942   0.4750221192 -12.2132547160 3
1621309165.00 2158.00000 185983.00   22 19 09.72856  114 10 03.24400        7.622   0.054   1.717   0.003  -0.063  -0.170   0.204  -0.7410578826   0.3971399661 -12.3298401682 3
1621309166.00 2158.00000 185984.00   22 19 09.78530  114 10 03.23317        7.594   0.050   1.818  -0.003  -0.019  -0.206   0.364  -0.5853680610   0.6073753699 -12.3810052993 3
1621309167.00 2158.00000 185985.00   22 19 09.84248  114 10 03.22209        7.583   0.078   1.755   0.004  -0.286  -0.059  -0.397  -0.5331429579   0.5910804502 -12.4165458713 3
1621309168.00 2158.00000 185986.00   22 19 09.89811  114 10 03.21098        7.581   0.064   1.715  -0.008   0.652   0.011   0.206  -0.7458363507   0.7608936815 -12.4975621036 3
